"","Date","ID.1","ID.2","Site","TimeStamp"
"104",2019-09-12,"Tripa","unbanded adult female","AZ","6:40:45"
"105",2019-10-30,"Tripa","unbanded adult female","AZ","7:41:50"
"106",2019-11-03,"Tripa","unbanded adult female","AZ","8:50:24"
"107",2019-12-01,"Tripa","unbanded adult female","AZ","9:21:41"
"108",2020-01-12,"Tripa","unbanded adult female","AZ","10:46:39"
"109",2019-12-03,"Uva","unbanded adult female","AZ","10:37:32"
"110",2020-03-02,"Uva","unbanded adult female","AZ","9:24:41"
"111",2020-01-26,"Yuca","unbanded adult female","AZ","9:16:10"
"112",2020-02-02,"Yuca","unbanded adult female","AZ","9:20:57"
"113",2019-10-29,"Abeja","unbanded adult male","AZ","13:27:30"
"114",2019-12-09,"Abeja","unbanded adult male","AZ","9:56:13"
"115",2019-12-29,"Adobo","unbanded adult male","AZ","10:22:35"
"116",2020-01-26,"Adobo","unbanded adult male","AZ","9:58:56"
"117",2020-01-20,"Ahumada Asada","unbanded adult male","AZ","9:01:16"
"118",2019-09-17,"Aquaman","unbanded adult male","AZ","7:54:18"
"119",2019-10-23,"Aquaman","unbanded adult male","AZ","11:26:32"
"120",2019-12-04,"Aquaman","unbanded adult male","AZ","7:34:54"
"121",2020-03-02,"Azucara","unbanded adult male","AZ","8:28:53"
"122",2019-12-30,"Burrito","unbanded adult male","AZ","10:12:14"
"123",2020-01-24,"Burrito","unbanded adult male","AZ","8:11:53"
"124",2020-01-27,"Burrito","unbanded adult male","AZ","8:18:13"
"125",2019-02-04,"Calabazo","unbanded adult male","AZ","10:14:14"
"126",2019-03-07,"Ceviche","unbanded adult male","AZ","8:25:14"
"127",2019-11-25,"Chalupa","unbanded adult male","AZ","10:22:21"
"128",2020-01-12,"Chilaquile","unbanded adult male","AZ","10:09:04"
"129",2020-01-30,"Chilaquile","unbanded adult male","AZ","12:24:16"
"130",2020-03-03,"Chilaquile","unbanded adult male","AZ","10:53:43"
"131",2020-01-27,"Cochinita","unbanded adult male","AZ","9:20:10"
"132",2020-03-02,"Concha","unbanded adult male","AZ","11:17:44"
"133",2020-01-13,"Crema","unbanded adult male","AZ","9:28:40"
"134",2019-12-30,"Diablo","unbanded adult male","AZ","9:31:22"
"135",2020-02-03,"Diablo","unbanded adult male","AZ","10:58:28"
"136",2019-02-04,"Fajita","unbanded adult male","AZ","8:21:19"
"137",2019-11-17,"Fideo","unbanded adult male","AZ","7:31:22"
"138",2019-12-09,"Fideo","unbanded adult male","AZ","7:55:34"
"139",2019-12-29,"Fideo","unbanded adult male","AZ","9:02:43"
"140",2019-12-08,"Lechuga","unbanded adult male","AZ","9:36:17"
"141",2020-01-16,"Lechuga","unbanded adult male","AZ","8:31:15"
"142",2020-03-03,"Mangonada","unbanded adult male","AZ","11:47:29"
"143",2019-12-01,"Mixiote","unbanded adult male","AZ","9:56:18"
"144",2019-09-22,"Morada","unbanded adult male","AZ","7:46:07"
"145",2019-12-03,"Morada","unbanded adult male","AZ","12:43:16"
"146",2020-02-13,"Morada","unbanded adult male","AZ","8:45:42"
"147",2019-11-15,"Nacho","unbanded adult male","AZ","7:23:04"
"148",2019-12-16,"Naranja","unbanded adult male","AZ","7:36:32"
"149",2020-01-20,"Naranja","unbanded adult male","AZ","8:25:52"
"150",2020-03-02,"Paella","unbanded adult male","AZ","9:46:53"
"151",2019-12-03,"Pan Dulce","unbanded adult male","AZ","10:15:41"
"152",2020-01-13,"Pavo","unbanded adult male","AZ","8:57:22"
"153",2019-09-17,"Pepino","unbanded adult male","AZ","8:33:56"
"154",2019-11-26,"Pepino","unbanded adult male","AZ","12:18:42"
"155",2020-01-15,"Pepino","unbanded adult male","AZ","11:21:34"
"156",2020-02-13,"Pepino","unbanded adult male","AZ","9:29:35"
"157",2019-12-04,"Picante","unbanded adult male","AZ","8:30:38"
"158",2018-11-28,"Pico","unbanded adult male","AZ","13:34:05"
